"","on_repeat_id","extraversion_score","agreeableness_score","conscientiousness_score","emotionalStability_score","opennessToExperiences_score","filtered_avg_popularity"
"1","37i9dQZF1Epy5MAZeKlWrQ",4,6.5,3,1.5,6,69.4666666666667
"2","37i9dQZF1Epu0KuHVOAKnW",5,4,4.5,5.5,5.5,56.0666666666667
"3","37i9dQZF1EpgrspVelP3CO",5.5,6,7,6,4,67.9
"4","37i9dQZF1Epvnmffey5v3Q",6.5,5.5,4.5,4,6,62.3
"5","37i9dQZF1EpwJQjwSh61Ha",5.5,4,5.5,3.5,5.5,72.7
"6","37i9dQZF1EpxeTerHwmN7O",4.5,4.5,5,5,6,64.3
"7","37i9dQZF1EpjBpu9eaU7G3",7,6,1,2,5.5,62.5666666666667
"8","37i9dQZF1Epn5k8ipE2mvP",7,3.5,6,4,7,59.2
"9","37i9dQZF1EpnIb7NkmtAXC",4,4.5,4,4,4.5,73.125
"10","37i9dQZF1EpoajzQvM0Zl0",3.5,5.5,6,4,5.5,74.1333333333333
"11","37i9dQZF1Epju3YFKMzzXA",7,3.5,3.5,5,6.5,44.0666666666667
"12","37i9dQZF1EpmNXu2LltuAl",6,4,6.5,5,5.5,57.5
"13","37i9dQZF1EppcGM5b8k0CW",4.5,6,5,7,6.5,69.7333333333333
"14","37i9dQZF1Epv7E6AhmsjT6",5.5,4.5,5,4.5,5,69.5
"15","37i9dQZF1EpAcvvbFrAUTt",7,4.5,6.5,5,7,78.9
"16","37i9dQZF1EpgQDFQTU9GtQ",5.5,5,6,3.5,4.5,64.9666666666667
"17","37i9dQZF1EpqV4GNOOEdrz",2,5.5,5,4.5,6,79.3
"18","37i9dQZF1EpmdddFZ7GJWA",4.5,2.5,5,3,5.5,58.7333333333333
"19","37i9dQZF1EpjVIgn7W0dQT",2,4.5,6,2.5,4.5,46.1666666666667
"20","37i9dQZF1EpsSohQ7ZNJLQ",3.5,4.5,5,5,6,60.0333333333333
"21","37i9dQZF1EpfTsmCHyjHd3",1.5,5,2,3.5,4,46.9
"22","37i9dQZF1EptfORohHNTJQ",5.5,5,4.5,4.5,4.5,71.0333333333333
"23","37i9dQZF1EphBrDIEojXO6",4.5,5.5,4.5,2.5,6,69.3333333333333
"24","37i9dQZF1EpmzlRH1Jr3Fk",2,3,3.5,3,7,55.4333333333333
"25","37i9dQZF1EplmFrasGsOJK",1.5,6.5,5.5,4,6.5,60.2
"26","37i9dQZF1Epr1ggHYXM1LF",3.5,3.5,7,5,6.5,66.1666666666667
"27","37i9dQZF1EprshGR4hcG4u",1.5,4,4,4.5,5.5,48.4
"28","37i9dQZF1EpyuXUqmP8QI9",5,4,5,4,7,58.2666666666667
"29","37i9dQZF1Epqxy6APBnfh3",6,3.5,5.5,4.5,7,62.5333333333333
"30","37i9dQZF1EpswcNTW1xQgW",3,4,6.5,5.5,5.5,59.7333333333333
"31","37i9dQZF1EpxnWEXvjB6Wr",2.5,5.5,5.5,3.5,4.5,79.7666666666667
"32","37i9dQZF1EpmAV6cmK2Vj3",2.5,4,5,2.5,6,49.8333333333333
"33","37i9dQZF1EplPnt2p51MIB",5,4,3,6,5.5,59
"34","37i9dQZF1EpnatlWusJuC1",4,5,1.5,5,3.5,79.6333333333333
"35","37i9dQZF1EplJtTV1Lcio2",4.5,4.5,5.5,7,4.5,71.5666666666667
"36","37i9dQZF1Epzlrv0tZgTbK",3.5,3.5,4.5,2.5,7,56.6333333333333
"37","37i9dQZF1EpWitz9NsN82E",3.5,5,3,3,4.5,60.6333333333333
"38","37i9dQZF1Epou88eU8OzE8",6.5,4,5,6.5,5.5,72.4666666666667
"39","37i9dQZF1EpssRkEIuo2KQ",2.5,4,4,3,3,66.2333333333333
"40","37i9dQZF1EpvddDPhlsrsK",4.5,3.5,4.5,4,6,69.9666666666667
"41","37i9dQZF1EpfuHaTjRSctn",6,4,1.5,4,6,26.4666666666667
"42","37i9dQZF1EprcDCcGOdeLC",1.5,3.5,4.5,3.5,4.5,70.6
"43","37i9dQZF1Ephpgwm1Bovpi",3,4,5.5,5.5,4,75.1666666666667
"44","37i9dQZF1Epmhs0PtTk5YD",1.5,3.5,3.5,3,6,51.8666666666667
"45","37i9dQZF1Epy9JgdicJgbp",6,5,4.5,6.5,5.5,75.8333333333333
"46","37i9dQZF1Ephpbxndeqwel",4.5,6.5,5,5,6.5,73.1666666666667
"47","37i9dQZF1EpohYDtx9QKdh",6.5,4,5.5,4.5,6,70.1333333333333
"48","37i9dQZF1Epj3YOs5FaBSx",6,5,4.5,4,6,59.5
"49","37i9dQZF1EpxWG42Jsbh8p",2,4,2.5,4.5,6.5,69.0666666666667
"50","37i9dQZF1Epya3jlQDQcVA",5,4,2.5,4,6,24.0666666666667
"51","37i9dQZF1EpnTgz0N8zRaJ",5,4,4.5,2.5,5.5,34.4333333333333
"52","37i9dQZF1EpinyQ4nroDcn",4.5,3.5,5,4.5,5,72.8666666666667
"53","37i9dQZF1EptjbsQgku8cB",6.5,6.5,5,5.5,5.5,61.7666666666667
"54","37i9dQZF1Ept21lFNfVJvP",3,4.5,5.5,3,5.5,76.6666666666667
"55","37i9dQZF1EphMxPudKoxv0",5.5,4,5,2.5,5,75.1
"56","37i9dQZF1EpoHMuNPTXqz2",2.5,4.5,7,6.5,6.5,62.6666666666667
"57","37i9dQZF1Epubznvm9TM4f",3,6,3.5,3.5,6.5,53.6666666666667
"58","37i9dQZF1EpnzueFPCbKQv",4,3,5,3.5,6.5,58.3666666666667
"59","37i9dQZF1Epoz4CBJWTBMK",4,5.5,4.5,3.5,6,69.3
"60","37i9dQZF1EphTlcOFVFyQ4",7,3.5,6.5,4.5,5.5,80.1666666666667
"61","37i9dQZF1EpyfGhYf1ns9I",2.5,5,5,4,4.5,50.2
"62","37i9dQZF1EprVnAjMbXB3b",3,3.5,5.5,6,5.5,73.9666666666667
"63","37i9dQZF1EpyIxpQoWgRFC",2.5,3.5,6,5,4.5,59.6666666666667
"64","37i9dQZF1EphOKxhmlBFtk",3.5,3.5,6,4.5,5.5,57.5666666666667
"65","37i9dQZF1EpzXNTIfAEpEQ",7,4,7,6,4.5,54.8
"66","37i9dQZF1EpnZjfMDutbdM",2,4,6,3.5,4.5,69.4333333333333
"67","37i9dQZF1EpgadVXYoYLCy",4,3.5,5.5,5.5,5.5,40.9333333333333
